Year,Cost (EUR),CO2 (tCO2)
2025,99906944.44327083,37076.30816320554
2025,99859311.00398713,37086.44849006305
2025,97599323.62848131,37710.093359977436
2025,96210189.07511558,38026.16707298506
2025,95101952.31666411,38599.010822717566
2025,93594722.47605637,39140.176320391474
2025,92477163.68982911,39789.612485447826
2025,90762135.5410664,41228.81694727081
2025,88006743.60623728,43504.32306150746
2025,86918306.27771264,44716.38498698261
2025,85698877.35840529,46114.402006698205
2025,85403167.40925284,46324.31610520511
2025,82484127.26895395,49667.32268399083
2025,80974173.94809231,52245.1940184524
2025,80757211.9592752,53476.686956635225
2025,79076560.57481581,55140.17736584974
2025,78290928.2144562,56529.55321821182
2025,77235582.22883043,59289.231475075576
2025,76677438.51492296,60312.64008926095
2025,75816437.10872242,62524.21272440499
2025,74868175.56198476,64950.215645098964
2025,74544187.67132616,65597.10683900226
2025,72657555.77846347,70534.15752251228
2025,71272945.76979165,75744.82748902054
2025,70896900.25730282,76944.3575553328
2025,70450316.45834896,80436.95265226922
2025,69758036.63775024,82682.37510548928
2025,69553077.61898306,84861.98872184
2025,69204360.6776399,86157.05302253008
2025,68025335.1769523,92222.01924499277
2025,67387314.07393055,93601.72435851628
2025,66967994.05153255,96424.28146783839
2025,66415492.49496792,99561.4925351289
2025,66222119.78966865,99656.83323796751
2025,65741468.06764828,103471.68717397272
2025,65738609.933397,103473.12152573947
2025,64601114.97576148,108493.22119666208
2025,64588895.2928527,108509.30780660224
2025,63940954.43294701,113176.1280339791
2025,63862196.38527843,113216.19364122848
2025,63135120.77154073,116310.69119285932
2025,62678870.46573998,118285.17438394291
2025,62402578.70507011,121364.86956000346
2025,61437481.468055256,126242.39628796082
2025,61019684.99517344,128378.20641240175
2025,60641956.969292864,131782.3863241752
2025,59838307.97273366,134371.44976690342
2025,59319500.663695894,136410.04819943637
2025,59160545.1423731,138647.92650259173
2025,57681956.07521119,145246.59582715592
2026,102335399.85789974,36413.718119655605
2026,102231364.90995309,36858.90913166887
2026,100084038.5340457,37118.51030705817
2026,99050668.32703727,37760.91012648403
2026,97420772.77697356,39200.14863469582
2026,96287470.61659515,39764.00167005237
2026,92472160.56827967,42149.49791142848
2026,92377752.04605868,42217.051045488144
2026,91044301.85262047,43196.55212488019
2026,88355782.74077919,46228.21352193528
2026,87105723.21198995,47595.13246171085
2026,85553688.74220574,49015.47039416092
2026,84915714.33676384,49759.05237481486
2026,83656033.3657832,51888.15128607333
2026,82739919.83894823,53134.37107069177
2026,81665642.58918315,54903.775910811506
2026,80650325.55110756,57324.06217180351
2026,79632648.56690978,58322.81600493941
2026,78584828.50597964,60541.18556678007
2026,78061955.47927831,63491.68863202362
2026,77024710.37956575,64750.01525446796
2026,76012095.34127326,66492.17759118258
2026,75130926.91141592,69814.40722698947
2026,74557150.75218593,71559.95246759665
2026,72915424.84443477,77514.46121992944
2026,71562958.10359249,81690.41852296979
2026,71027105.30095595,83650.18169620255
2026,70842201.31061482,85959.8233024671
2026,70118111.66831231,88557.15503525347
2026,69278415.79145345,92287.1501761901
2026,67774659.32541229,97586.4923094678
2026,67770221.8357946,97590.9887675892
2026,67368928.87410551,101971.08167125714
2026,66603605.36476103,102771.19974864098
2026,66165418.517302826,105606.6773750151
2026,65903607.25718744,105948.0589880813
2026,65089283.37932402,111820.67196246904
2026,64699015.630099654,112852.37660450714
2026,64152920.363570064,114973.69470956348
2026,63564199.500446506,117833.35299834056
2026,63141788.19637569,121236.68537908338
2026,62938834.113121614,121664.63575069368
2026,62216257.42730935,124078.54461675225
2026,61593476.308932066,126800.69530105389
2026,61135550.96219124,129157.46787381741
2026,60682372.955569945,134268.28546004754
2026,59902171.35439801,136055.05459772705
2026,59542228.26565418,136467.72237059512
2026,58548230.71787946,141461.31386750596
2026,58156412.20829318,142403.06179584554
2027,101743230.4771836,38938.19014598309
2027,100343453.38359421,39422.4262515922
2027,98976971.15415649,40336.49816685546
2027,98794339.11363111,40440.71520170188
2027,96621201.72435763,41685.314486887815
2027,96614694.95526053,41687.673037208064
2027,95271337.5276221,42719.50643218351
2027,95223120.61141515,42786.384771774
2027,93040073.16567877,44928.09628398821
2027,91845950.87861879,46056.96020923431
2027,90506410.8914073,47286.949955093354
2027,89626645.32084723,48620.65125205375
2027,87862160.53408515,50526.57590064806
2027,87521125.1826972,51329.39438623916
2027,85511033.60785364,53505.92232152211
2027,84034638.04269835,55708.1774508376
2027,83012397.63928473,57033.00687928182
2027,82632851.88061637,57745.68039339008
2027,81691717.40692954,59896.380654910536
2027,81497310.70000409,60446.40698200235
2027,80393638.695012,62379.39390210953
2027,80162275.01303686,62486.56591202235
2027,79480403.65336162,64735.48078357822
2027,79103713.7119115,64979.93185605093
2027,78793752.12350212,68453.98781507059
2027,77427001.14204213,68786.29652179871
2027,77365407.70607197,69042.9026541464
2027,76415459.42093617,71369.90156648873
2027,75011959.32430159,77539.00179207878
2027,74657268.82897933,77795.49322275794
2027,73903172.43048947,81517.27967360936
2027,73006737.91907501,83614.11869880554
2027,72258280.61330383,86889.10882432968
2027,71944015.43114273,87109.34753835476
2027,70535505.96946472,93103.85278197643
2027,70052699.44616306,95300.87374560331
2027,68586426.27434023,100189.50373704935
2027,67098423.01094793,105478.94389569719
2027,67034413.431679025,106601.90381006274
2027,66178910.74154188,109684.20208248566
2027,66062113.14010504,111454.07829536183
2027,63861668.11575536,119518.14815305927
2027,63614646.55286127,120636.44064317216
2027,62938416.73606184,123270.32967782483
2027,62562643.152389735,124447.9041262635
2027,61644863.20818616,128289.28114662858
2027,61442686.6611457,129073.2872483126
2027,60836991.497606546,131083.2083048108
2027,59248175.87700766,137768.4905004953
2027,58326201.0026466,140706.75914279785
2028,99496677.54010333,39758.82793871964
2028,99477073.61346924,39772.02175865017
2028,97117749.06576204,41482.60944224236
2028,96580123.71261203,41801.02900176338
2028,95542623.58720791,41895.051715857466
2028,94918342.18805878,42414.97639444469
2028,93337371.69604956,43217.21642082592
2028,92685285.06758162,43757.23004701775
2028,91169888.2502188,44957.486698853325
2028,90768398.48308335,45354.308167492636
2028,89336091.04722613,46817.121349875866
2028,88651508.1573817,48363.64862589669
2028,86933845.08947496,49647.4096158312
2028,86002616.85051948,51581.69789337949
2028,83850371.05621235,53685.51735270987
2028,82624688.4218472,55552.72648350491
2028,80624350.6157852,59248.75544609249
2028,79378633.04762995,62361.44141491061
2028,78696687.50147651,63972.6805744046
2028,77258381.51324373,66850.51756315918
2028,76433624.57498297,68813.81749379812
2028,75636588.17888239,71910.59555254692
2028,74831864.05795,74319.73280690983
2028,74694465.85553521,74821.25232854989
2028,73960839.48139256,76817.21263771357
2028,73762681.0486487,78075.42311762847
2028,73123312.92951237,79850.65483786521
2028,72550378.60330196,82693.88008285043
2028,72381487.4961303,82868.27560881805
2028,70803858.42757419,89054.50760403302
2028,69783460.76373346,93862.86862406594
2028,69751440.04704928,93922.23638679877
2028,69000931.9200423,96497.75355516138
2028,68547361.18241638,98488.55305943455
2028,67928826.45070887,100956.24836664154
2028,67459941.78855693,103149.7577528129
2028,67139640.3284998,104973.53939895646
2028,66730077.46242714,105908.25702940769
2028,65896528.09746787,109496.7347858663
2028,65216171.615103714,113955.75982628284
2028,64704744.666096255,115267.92143987525
2028,63899614.35766564,120288.8072421047
2028,63652462.522231676,120468.44741246355
2028,61951382.12182866,127217.8183163705
2028,61264303.96892507,130255.68227105854
2028,61158097.19329614,130378.44134638265
2028,60466204.05510923,133256.80993754737
2028,59937710.8738201,135276.83406555312
2028,59768516.6452021,136293.46167958196
2028,58792155.280558005,140260.63529145377
2029,106358976.24838072,39605.482062734234
2029,105469677.0331555,40464.56802604438
2029,103729035.1635178,41029.86227045769
2029,102468196.06140506,41563.91014398458
2029,101876876.98317197,42300.717184953966
2029,98657844.92342433,42453.35811107559
2029,97702962.92875539,43161.57267546914
2029,95877993.80051973,44629.718122177
2029,92344986.59721261,47246.27997492322
2029,90924851.21141845,48703.66481061837
2029,90924220.46589366,48704.74512972453
2029,88966616.73123361,51030.006515448316
2029,87884877.84870088,52424.9453662838
2029,87637398.47649708,52628.17718490764
2029,86001403.21102762,54888.483077199795
2029,84787953.23404829,56775.39104662876
2029,83143704.10044499,59761.29982968761
2029,82844918.37494038,60240.25751061781
2029,82074856.68942589,62821.815240283875
2029,81089740.80463819,63582.95096364022
2029,80573874.9652248,64908.67933613778
2029,79112036.91313517,69535.44981129156
2029,78007853.02207467,71074.95463837025
2029,77227177.75873208,73259.92188917907
2029,76669367.65876319,76107.20702368076
2029,75905440.62184787,77232.80066273468
2029,75104754.14557287,81052.62908494803
2029,74653506.38635442,81542.00659598515
2029,72192373.43914756,90168.16944047547
2029,71356928.05169958,92951.34665359634
2029,70667072.38750562,96112.35617633097
2029,70176364.97363132,96770.18257191278
2029,69659902.2863918,100042.31788349984
2029,69159775.59805298,100898.46996027892
2029,68155327.90281199,104579.98958826046
2029,68021222.89258096,104974.4338066497
2029,67591117.83812457,109526.1811626679
2029,66959918.85144885,109842.77725168686
2029,66243998.5644814,112006.07732095142
2029,65502348.871910036,114594.52296186164
2029,65336207.80125458,115612.82451217464
2029,64182267.224607415,119315.30983303866
2029,64134110.49922196,119338.04602593175
2029,63382188.91830419,122411.50023089579
2029,62660451.17683257,124922.85307819981
2029,62059962.1750966,127690.54308116325
2029,61459784.40942721,129345.69130689421
2029,60136858.81543594,134614.61155287124
2029,59401815.20352279,137085.0016632678
2029,59098489.03137262,138576.1410202899
2030,99608551.56661752,46257.9820813811
2030,98292680.74754259,47066.167278927474
2030,96636684.3597935,48268.60429380959
2030,95380954.15254574,49409.81171516088
2030,94404876.41978604,50299.56660027355
2030,92658682.78660643,52315.42379771465
2030,91438363.83215487,53722.06219058295
2030,91308293.31717919,53846.45263566062
2030,90140857.37890793,55845.7610757775
2030,88621181.18086281,57280.25798771657
2030,87648546.60750276,59217.11603201568
2030,86689788.31966648,60706.264835339374
2030,85603019.7155971,63635.132476730214
2030,85353682.32984437,63880.24404891516
2030,84477849.13040377,65368.50031221373
2030,84220837.47856754,65881.76024422655
2030,83446435.30207285,67241.07105266355
2030,82796740.35203046,69085.09198005503
2030,82365115.69517475,69512.42301744845
2030,81634799.54033518,71642.44624369318
2030,80888889.2755329,72745.8467008254
2030,79604820.97700723,76387.97577859444
2030,79353640.96256661,78216.20668103878
2030,78551813.3654927,79017.27161306441
2030,77883986.14356509,82165.42646645795
2030,76921507.98901054,84564.83127467283
2030,76299191.91654697,86256.87375364876
2030,75796500.48630501,89118.2831860222
2030,75353871.71545044,89378.29264757835
2030,74445769.63383289,92632.54868602644
2030,73880669.93511102,93457.63658279064
2030,72807470.7475375,98345.22122246618
2030,72254754.46462661,98912.61946507858
2030,71570252.94651166,102021.28796025475
2030,71434728.71264388,102143.824046942
2030,70547833.25354601,104410.98812072532
2030,69979964.5480693,105864.2859819952
2030,69163228.06184681,109072.30360680813
2030,68912919.55644299,109376.7678087618
2030,67991294.47374277,112127.52516583445
2030,66954787.79168384,115652.86885501984
2030,66909887.29773986,115944.13141560237
2030,65862372.47185204,120229.1748373775
2030,64288569.48621787,125429.80393401472
2030,64242097.42825517,125459.87025736053
2030,63540988.52154567,127983.36438483918
2030,61682477.72979324,132386.12578901602
2030,60679907.19847476,135768.5776922511
2030,60452670.73290394,137905.00891100522
2030,59606665.90136165,138755.47653249133
2031,93761017.64901634,47698.4896039492
2031,92847451.56588602,48093.978090243254
2031,92424377.11570093,48598.03378565059
2031,91415548.66100171,49463.3518853145
2031,90740570.18046075,49893.11270440373
2031,89587543.01004204,51226.35052495617
2031,88265798.2699851,52730.853626625096
2031,87164597.1716251,54176.78125798433
2031,87117546.12244153,54252.15207273785
2031,85637056.37440822,56553.13637876719
2031,85625473.54683131,56567.72486768592
2031,84544236.8563259,58408.62943916709
2031,83528473.73781292,60218.63971766489
2031,82928018.0069136,61279.38285293004
2031,82198225.53767967,62939.90595499787
2031,81098201.73482093,64786.59368560535
2031,80085714.36359808,68770.80109029743
2031,78437404.47816613,71813.75259633144
2031,77698284.77603734,73051.09356288922
2031,77018428.65196186,75662.92178462188
2031,76296119.24202834,78040.81739056573
2031,75331293.56871332,80948.28990772483
2031,75029800.28750867,81166.41911366163
2031,74605247.7308929,82938.09779097678
2031,74027596.69978157,84799.97415906796
2031,73640752.9235386,86415.92754121813
2031,72977443.33775014,88074.90659239686
2031,72535142.38729718,89080.59084419481
2031,71772459.20343783,92701.78260381788
2031,71308802.06045055,94269.92173220903
2031,70477172.01340988,95958.91742366158
2031,70344552.89430682,96174.68185751417
2031,69347795.99806596,99626.89035138502
2031,68881200.15471323,101419.26079529131
2031,68101487.66416973,103773.59432527178
2031,67533897.29409398,105980.00234789812
2031,67416499.20083342,106112.41344187417
2031,66465274.37946009,109560.07599818223
2031,66254514.25325994,109780.27369310983
2031,64796636.77061496,114571.09578544357
2031,64324647.08341101,116150.01484683373
2031,62676275.661463276,122248.41501495714
2031,61898603.65902049,124555.4082341109
2031,61343015.154414065,126465.82868673632
2031,60905879.509469315,128627.0958357841
2031,60126736.37438085,129527.93045229281
2031,59496761.0917617,131860.46114330465
2031,59397733.09880327,132002.53942487013
2031,58895536.1956007,133756.8086338745
2031,58567405.65867689,134972.71261940265
2032,100609258.9768032,45587.00703425595
2032,98421272.52792224,47358.41740073357
2032,96693979.40486944,47387.261562177024
2032,96520207.8165142,47628.439987107406
2032,94516530.95686223,49092.979653203685
2032,94494273.50132424,49126.2653045724
2032,92743862.92548357,49980.00092759232
2032,91566368.06462538,51283.39085549737
2032,90815956.17394659,52147.18237645745
2032,90058359.64962701,53234.711507280124
2032,88963818.94395626,54549.05734100765
2032,87839139.3188495,56372.303937626544
2032,87196269.29413968,57275.09715852594
2032,86051302.46479173,59013.451318736916
2032,85227518.1560524,60206.855213304094
2032,84048901.51920064,62773.82267135875
2032,82494908.97729467,65149.95330651845
2032,81667427.08824433,66870.97528365659
2032,81015396.1171027,68571.6409567588
2032,79985571.66053268,71155.45256482107
2032,79938516.36791712,71202.03265632832
2032,78593571.94645824,75009.23307381694
2032,77745867.96944486,76737.97348605045
2032,76721460.31274846,79660.6827488702
2032,75992470.92037426,81560.74732553861
2032,75616968.23979568,82804.45937138799
2032,75063382.95787203,83951.32560844775
2032,74223979.71132241,85678.42048116899
2032,74123774.89765513,85801.41430931893
2032,72271776.95418386,91497.96857677614
2032,71879958.83930227,92302.04563837555
2032,71204729.19152918,94642.74652951935
2032,70828482.68551305,95414.98704257686
2032,70040348.36617656,97653.24295364873
2032,69916898.33918396,97737.57339691595
2032,69155674.07010256,99779.73706057407
2032,67406890.53664441,104530.81660780698
2032,66960575.42841095,106175.54557877325
2032,65964124.793987826,108779.91306093681
2032,65099362.433926836,111533.35225329088
2032,64435008.82297903,113039.93999352082
2032,63927532.99731463,114966.95338551904
2032,63363836.31610702,116719.12121250873
2032,62695222.279587686,118253.4967760157
2032,61363751.68505754,122352.84919581217
2032,61231118.583856545,122528.59183826682
2032,60246503.66666297,124562.37489213931
2032,60195443.6662181,124799.29014773075
2032,59216480.4631324,127616.93263341993
2032,57834177.37279651,131357.1654516145
2033,96550171.91870318,48166.04594916364
2033,95803420.75431187,48917.86087966619
2033,94500510.08005773,50606.61001922123
2033,93210668.023173,50947.22044784946
2033,92722541.61929663,51447.835704234174
2033,91748954.2943098,52548.38347643253
2033,89652915.25781816,55569.81620556698
2033,88894360.87767527,57206.92819410328
2033,86700445.66906427,59591.28226535737
2033,86419586.73991157,59936.924029808
2033,85353893.3414757,62116.11018495729
2033,85045191.15483123,62366.89676788524
2033,83395222.34368032,65487.97886479994
2033,82378984.06396914,67514.91901155778
2033,81718931.24349734,69004.93354512125
2033,81640365.96246299,69029.13419780337
2033,80677297.74809265,71138.5202531404
2033,79231645.6695342,74667.90730129828
2033,79116442.07994017,75202.08969325702
2033,77936091.08893293,77053.44332452088
2033,77720700.15176319,77574.60786787397
2033,76741246.93854183,80536.20681128121
2033,76005685.22734635,81736.72032488236
2033,75348544.27054147,83291.00085482461
2033,74577095.86796886,84850.65118076564
2033,74572459.97716373,85047.09009723237
2033,73951103.09220068,86679.03960959348
2033,73713924.23318434,86999.03910041481
2033,73116953.62822263,89566.48605312184
2033,72133451.6419546,90558.93240227729
2033,71429932.99234682,93311.14135352276
2033,69158812.41572437,97692.21094490176
2033,69062773.430393,97752.72584596767
2033,68248514.75762787,100291.35885998985
2033,68131597.30751576,100853.90569649692
2033,67522626.62412724,102059.73892890633
2033,66669782.33226593,104104.11101098929
2033,66042180.67160765,105500.20790219403
2033,65486871.516049385,106622.06060311999
2033,64440906.38434091,108938.30991531775
2033,63533431.664547496,111548.78851928422
2033,63213269.89485372,112095.04562430311
2033,62569767.24789387,113832.81237623599
2033,61522953.19681166,116449.50063700406
2033,60507216.91877342,118697.99468029315
2033,59882452.96228912,120231.73094023704
2033,59748892.944401644,120401.57812410846
2033,59092118.79282336,122264.34011422572
2033,57298801.92484543,126060.13227688905
2033,57243403.87359507,126222.0307889961
